institution,student_staff_ratio,year
Harvard University,8.9,2011
California Institute of Technology,6.9,2011
Massachusetts Institute of Technology,9,2011
Stanford University,7.8,2011
Princeton University,8.4,2011
University of Cambridge,11.8,2011
University of Oxford,11.6,2011
"University of California, Berkeley",16.4,2011
Imperial College London,11.7,2011
Yale University,4.4,2011
"University of California, Los Angeles",10.3,2011
University of Chicago,6.9,2011
Johns Hopkins University,3.6,2011
Cornell University,10.2,2011
ETH Zurich – Swiss Federal Institute of Technology Zurich,14.7,2011
University of Michigan,9,2011
University of Toronto,19.5,2011
Columbia University,5.9,2011
University of Pennsylvania,6.5,2011
Carnegie Mellon University,13.1,2011
University of Hong Kong,17.6,2011
University College London,10.7,2011
University of Washington,11.8,2011
Duke University,4.8,2011
Northwestern University,13.8,2011
University of Tokyo,5.7,2011
Georgia Institute of Technology,20.1,2011
Pohang University of Science and Technology,10.1,2011
"University of California, Santa Barbara",27.3,2011
University of British Columbia,17.6,2011
University of North Carolina at Chapel Hill,7.3,2011
"University of California, San Diego",6.5,2011
University of Illinois at Urbana-Champaign,18.7,2011
National University of Singapore,15.5,2011
McGill University,13.7,2011
University of Melbourne,23.7,2011
Peking University,8.3,2011
Washington University in St Louis,5.7,2011
École Polytechnique,4.8,2011
University of Edinburgh,14.1,2011
Hong Kong University of Science and Technology,23.8,2011
École Normale Supérieure,7.9,2011
Australian National University,19.2,2011
Karolinska Institute,11.5,2011
University of Göttingen,25.6,2011
University of Wisconsin,,2011
Rice University,9,2011
École Polytechnique Fédérale de Lausanne,10.5,2011
"University of California, Irvine",16.1,2011
University of Science and Technology of China,7.9,2011
Vanderbilt University,3.6,2011
University of Minnesota,18,2011
Tufts University,10,2011
"University of California, Davis",13.9,2011
Brown University,10.1,2011
University of Massachusetts,13,2011
Kyoto University,5.6,2011
Tsinghua University,13.7,2011
Boston University,8.6,2011
New York University,6.8,2011
Emory University,4.5,2011
LMU Munich,15.5,2011
University of Notre Dame,13.8,2011
University of Pittsburgh,5.8,2011
Case Western Reserve University,6.4,2011
Ohio State University,13.4,2011
University of Colorado Boulder,16.1,2011
University of Bristol,14,2011
"University of California, Santa Cruz",22.7,2011
Yeshiva University,5.5,2011
University of Sydney,20.2,2011
University of Virginia,10.2,2011
University of Adelaide,30.1,2011
University of Southern California,12.9,2011
William & Mary,11.8,2011
Trinity College Dublin,18,2011
King’s College London,11.4,2011
Stony Brook University,10.9,2011
Korea Advanced Institute of Science and Technology (KAIST),10,2011
University of Sussex,17.4,2011
The University of Queensland,32.7,2011
University of York,,2011
Heidelberg University,24.5,2011
University of Utah,16.9,2011
Durham University,15.7,2011
London School of Economics and Political Science,,2011
University of Manchester,15.3,2011
"Royal Holloway, University of London",15.9,2011
Lund University,11.5,2011
University of Southampton,13.5,2011
University of Zurich,6.5,2011
Wake Forest University,4.6,2011
McMaster University,19.3,2011
University College Dublin,24.5,2011
George Washington University,12,2011
University of Arizona,12.7,2011
University of Basel,17.3,2011
"University of Maryland, College Park",8.4,2011
Dartmouth College,6.6,2011
École Normale Supérieure de Lyon,8,2011
Technical University of Munich,31.5,2011
University of Helsinki,15.1,2011
University of St Andrews,12.7,2011
Rensselaer Polytechnic Institute,15,2011
"Rutgers, the State University of New Jersey",17.3,2011
Purdue University,18.1,2011
National Tsing Hua University,13.5,2011
University of Cape Town,12.1,2011
Pennsylvania State University,12.4,2011
Seoul National University,13.9,2011
Hong Kong Baptist University,11,2011
Bilkent University,,2011
Tokyo Institute of Technology,7.3,2011
Eindhoven University of Technology,16,2011
National Taiwan University,11.9,2011
University of Hawai’i at Mānoa,,2011
"University of California, Riverside",22,2011
University of Geneva,15,2011
KU Leuven,41.9,2011
Nanjing University,13.3,2011
Queen Mary University of London,14,2011
Michigan State University,15.7,2011
Technical University of Denmark,5,2011
Ghent University,34.1,2011
Lancaster University,14.9,2011
Leiden University,17.1,2011
University of Alberta,21.6,2011
University of Glasgow,16,2011
Stockholm University,23.7,2011
Osaka University,7.8,2011
University of Victoria,21.5,2011
Tohoku University,5,2011
University of Freiburg,31.2,2011
University of Iowa,11.6,2011
University of Bergen,11.1,2011
University of Lausanne,13.1,2011
University of Sheffield,15.5,2011
University of Montreal,20.3,2011
VU University Amsterdam,16.3,2011
Pierre and Marie Curie University,8.7,2011
University of Dundee,15.3,2011
University of Barcelona,12.2,2011
Utrecht University,15.4,2011
Wageningen University and Research Center,17,2011
University of Auckland,18.9,2011
University of Birmingham,16.4,2011
Alexandria University,23.3,2011
Uppsala University,18.2,2011
Hong Kong Polytechnic University,25.9,2011
University of Aberdeen,15.8,2011
Delft University of Technology,19.4,2011
"Birkbeck, University of London",17.2,2011
Newcastle University,15.2,2011
University of New South Wales,25.9,2011
Pompeu Fabra University,18.3,2011
Indiana University,13.6,2011
Iowa State University,17.4,2011
Georgia Health Sciences University,,2011
Erasmus University Rotterdam,18.9,2011
University of Delaware,15.9,2011
Arizona State University,29.9,2011
Boston College,17.4,2011
National Sun Yat-Sen University,19.6,2011
Georgetown University,8.5,2011
University of Amsterdam,14.4,2011
University of Liverpool,13.6,2011
Aarhus University,13.6,2011
University of Leeds,14.7,2011
University of Würzburg,38.4,2011
University of Groningen,25.6,2011
Sun Yat-sen University,16.6,2011
Goethe University Frankfurt,9.3,2011
Bielefeld University,67.8,2011
Nanyang Technological University,16.2,2011
University of East Anglia,14.7,2011
University of Nottingham,15,2011
University of Copenhagen,4.1,2011
Humboldt University of Berlin,52.5,2011
Monash University,40.5,2011
University of Bonn,70.4,2011
National Chiao Tung University,16.6,2011
RWTH Aachen University,27.6,2011
Middle East Technical University,22.2,2011
University of Exeter,18.8,2011
University of Twente,12,2011
University of Konstanz,59.1,2011
Karlsruhe Institute of Technology,24.6,2011
University of Innsbruck,16.9,2011
University of Tübingen,38.9,2011
Drexel University,10.8,2011
University of Cincinnati,15.7,2011
Yonsei University,11.6,2011
Dalhousie University,14.4,2011
KTH Royal Institute of Technology,14.6,2011
University of Vienna,20.5,2011
Kent State University,19,2011
University of Illinois at Chicago,9.2,2011
Zhejiang University,15.9,2011
Simon Fraser University,28.3,2011
Swedish University of Agricultural Sciences,4.6,2011
California Institute of Technology,6.9,2012
Harvard University,8.9,2012
Stanford University,7.8,2012
University of Oxford,11.6,2012
Princeton University,8.4,2012
University of Cambridge,11.8,2012
Massachusetts Institute of Technology,9,2012
Imperial College London,11.7,2012
University of Chicago,6.9,2012
"University of California, Berkeley",16.4,2012
Yale University,4.4,2012
Columbia University,5.9,2012
"University of California, Los Angeles",10.3,2012
Johns Hopkins University,3.6,2012
ETH Zurich – Swiss Federal Institute of Technology Zurich,14.7,2012
University of Pennsylvania,6.5,2012
University College London,10.7,2012
University of Michigan,9,2012
University of Toronto,19.5,2012
Cornell University,10.2,2012
Carnegie Mellon University,13.1,2012
Duke University,4.8,2012
University of British Columbia,17.6,2012
Georgia Institute of Technology,20.1,2012
University of Washington,11.8,2012
Northwestern University,13.8,2012
University of Wisconsin-Madison,10.8,2012
McGill University,13.7,2012
University of Texas at Austin,17.4,2012
University of Tokyo,5.7,2012
University of Illinois at Urbana-Champaign,18.7,2012
Karolinska Institute,11.5,2012
"University of California, San Diego",6.5,2012
University of Hong Kong,17.6,2012
"University of California, Santa Barbara",27.3,2012
University of Edinburgh,14.1,2012
University of Melbourne,23.7,2012
Australian National University,19.2,2012
"University of California, Davis",13.9,2012
National University of Singapore,15.5,2012
Washington University in St Louis,5.7,2012
University of Minnesota,18,2012
University of North Carolina at Chapel Hill,7.3,2012
New York University,6.8,2012
LMU Munich,15.5,2012
École Polytechnique Fédérale de Lausanne,10.5,2012
London School of Economics and Political Science,,2012
University of Manchester,15.3,2012
Brown University,10.1,2012
Peking University,8.3,2012
Pennsylvania State University,12.4,2012
Kyoto University,5.6,2012
Pohang University of Science and Technology,10.1,2012
Boston University,8.6,2012
University of Southern California,12.9,2012
King’s College London,11.4,2012
Ohio State University,13.4,2012
University of Sydney,20.2,2012
University of Pittsburgh,5.8,2012
École Normale Supérieure,7.9,2012
University of Zurich,6.5,2012
Hong Kong University of Science and Technology,23.8,2012
École Polytechnique,4.8,2012
University of Massachusetts,13,2012
McMaster University,19.3,2012
University of Bristol,14,2012
KU Leuven,41.9,2012
Utrecht University,15.4,2012
University of Göttingen,25.6,2012
Vanderbilt University,3.6,2012
Tsinghua University,13.7,2012
Rice University,9,2012
Heidelberg University,24.5,2012
The University of Queensland,32.7,2012
Emory University,4.5,2012
Wageningen University and Research Center,17,2012
Tufts University,10,2012
University of Colorado Boulder,16.1,2012
Leiden University,17.1,2012
Lund University,11.5,2012
"Rutgers, the State University of New Jersey",17.3,2012
University of Rochester,4.5,2012
Durham University,15.7,2012
Pierre and Marie Curie University,8.7,2012
University of St Andrews,12.7,2012
"University of California, Irvine",16.1,2012
Uppsala University,18.2,2012
Technical University of Munich,31.5,2012
University of Notre Dame,13.8,2012
Dartmouth College,6.6,2012
University of Helsinki,15.1,2012
University of Amsterdam,14.4,2012
Case Western Reserve University,6.4,2012
Korea Advanced Institute of Science and Technology (KAIST),10,2012
"University of Maryland, College Park",8.4,2012
Michigan State University,15.7,2012
University of Arizona,12.7,2012
Purdue University,18.1,2012
University of Sussex,17.4,2012
University of Alberta,21.6,2012
University of Sheffield,15.5,2012
University of Glasgow,16,2012
University of Cape Town,12.1,2012
Delft University of Technology,19.4,2012
University of Montreal,20.3,2012
Ghent University,34.1,2012
"Royal Holloway, University of London",15.9,2012
Tokyo Institute of Technology,7.3,2012
Humboldt University of Berlin,52.5,2012
"University of California, Santa Cruz",22.7,2012
University of Basel,17.3,2012
University of Bern,22.5,2012
University of Utah,16.9,2012
Stony Brook University,10.9,2012
Eindhoven University of Technology,16,2012
University of Lausanne,13.1,2012
Monash University,40.5,2012
Trinity College Dublin,18,2012
Osaka University,7.8,2012
Tohoku University,5,2012
Hebrew University of Jerusalem,10.7,2012
University of York,,2012
Indiana University,13.6,2012
Seoul National University,13.9,2012
Aarhus University,13.6,2012
University of Florida,18.7,2012
Arizona State University,29.9,2012
Queen Mary University of London,14,2012
University of Southampton,13.5,2012
University of Geneva,15,2012
Lancaster University,14.9,2012
Stockholm University,23.7,2012
University of Leeds,14.7,2012
University of Groningen,25.6,2012
George Washington University,12,2012
University of Copenhagen,4.1,2012
University of Virginia,10.2,2012
Georgetown University,8.5,2012
University of Vienna,20.5,2012
University of Nottingham,15,2012
University of Iowa,11.6,2012
École Normale Supérieure de Lyon,8,2012
"University of California, Riverside",22,2012
Rensselaer Polytechnic Institute,15,2012
University of East Anglia,14.7,2012
Newcastle University,15.2,2012
William & Mary,11.8,2012
University of Birmingham,16.4,2012
"Birkbeck, University of London",17.2,2012
Brandeis University,12.6,2012
Chinese University of Hong Kong,10.2,2012
Free University of Berlin,39.3,2012
University of Aberdeen,15.8,2012
National Taiwan University,11.9,2012
Yeshiva University,5.5,2012
University of Exeter,18.8,2012
Erasmus University Rotterdam,18.9,2012
University of Warwick,16.6,2012
Radboud University Nijmegen,13,2012
University College Dublin,24.5,2012
VU University Amsterdam,16.3,2012
Medical University of South Carolina,,2012
Wake Forest University,4.6,2012
Texas A&M University,21.4,2012
University of Reading,14.8,2012
Tel Aviv University,24.4,2012
University of Illinois at Chicago,9.2,2012
RWTH Aachen University,27.6,2012
Nanyang Technological University,16.2,2012
Paris Diderot University – Paris 7,14.8,2012
Université Catholique de Louvain,42,2012
University of Miami,5.7,2012
Queen’s University,22.1,2012
University of Auckland,18.9,2012
University of New South Wales,25.9,2012
University of Dundee,15.3,2012
University of Victoria,21.5,2012
Technical University of Denmark,5,2012
University of São Paulo,14.6,2012
University of Delaware,15.9,2012
Goethe University Frankfurt,9.3,2012
University of Liverpool,13.6,2012
University of Oslo,18.8,2012
Iowa State University,17.4,2012
University of Ottawa,26.3,2012
Pompeu Fabra University,18.3,2012
KTH Royal Institute of Technology,14.6,2012
University of Tübingen,38.9,2012
University of Freiburg,31.2,2012
University of Western Australia,20.7,2012
University of Bergen,11.1,2012
University of Science and Technology of China,7.9,2012
City University of Hong Kong,7.1,2012
University of Konstanz,59.1,2012
Boston College,17.4,2012
Karlsruhe Institute of Technology,24.6,2012
Georgia Health Sciences University,,2012
Maastricht University,18.9,2012
University of Leicester,13.4,2012
University of Twente,12,2012
Autonomous University of Barcelona,12.3,2012
Bilkent University,,2012
Cardiff University,13.1,2012
Colorado School of Mines,18.2,2012
Nagoya University,7.9,2012
National Tsing Hua University,13.5,2012
Northeastern University,15.1,2012
Technion Israel Institute of Technology,19.4,2012
Tulane University,8.4,2012
Ulm University,11.2,2012
Umeå University,11.9,2012
University at Buffalo,19,2012
University of Adelaide,30.1,2012
University of Barcelona,12.2,2012
University of Cincinnati,15.7,2012
University of Essex,19.8,2012
University of Georgia,19.9,2012
University of Gothenburg,16.4,2012
University of Innsbruck,16.9,2012
University of Medicine and Dentistry of New Jersey,,2012
University of Otago,20.3,2012
University of South Carolina,16.3,2012
University of Strasbourg,17.8,2012
University of Waterloo,24.2,2012
University of Western Ontario,20.7,2012
University of Würzburg,38.4,2012
Université Libre de Bruxelles,26.1,2012
Carleton University,29.8,2012
Chalmers University of Technology,11.6,2012
Colorado State University,19,2012
Creighton University,8.3,2012
Dalhousie University,14.4,2012
Drexel University,10.8,2012
Fudan University,12.2,2012
Korea University,15.8,2012
Macquarie University,20,2012
National Chiao Tung University,16.6,2012
Simon Fraser University,28.3,2012
State University of New York Albany,18.5,2012
Swedish University of Agricultural Sciences,4.6,2012
Tokyo Metropolitan University,9.9,2012
University of Bologna,22.9,2012
University of Calgary,16.5,2012
University of Hamburg,,2012
University of Milan,24.3,2012
University of Milan-Bicocca,72.5,2012
University of Missouri,14.1,2012
University of Padua,18.3,2012
University of Trieste,25.8,2012
Yonsei University,11.6,2012
Bangor University,19.5,2012
Bielefeld University,67.8,2012
Brunel University London,17.6,2012
Hong Kong Polytechnic University,25.9,2012
Johannes Kepler University of Linz,29.1,2012
Kyushu University,6.7,2012
Nanjing University,13.3,2012
National Sun Yat-Sen University,19.6,2012
Norwegian University of Science and Technology,13.9,2012
Queen’s University Belfast,17.9,2012
Ruhr University Bochum,46.3,2012
Stellenbosch University,23,2012
Tilburg University,22.4,2012
TU Dresden,37.4,2012
University of Bath,18.8,2012
University of Graz,26.8,2012
University of Hawai’i at Mānoa,,2012
University of Kiel,23.8,2012
University of Southern Denmark,12.7,2012
University of Texas at Dallas,22.8,2012
University of the Witwatersrand,18.6,2012
University of Tsukuba,12.6,2012
University of Wollongong,25.4,2012
Victoria University of Wellington,21.1,2012
Virginia Polytechnic Institute and State University,18.6,2012
Wayne State University,10.7,2012
Aberystwyth University,19.2,2012
Autonomous University of Madrid,13,2012
Hokkaido University,8.2,2012
Hong Kong Baptist University,11,2012
Istanbul Technical University,16,2012
Lomonosov Moscow State University,7.7,2012
Middle East Technical University,22.2,2012
Montpellier University,18.4,2012
Queensland University of Technology,35.8,2012
State University of Campinas,15.3,2012
Sun Yat-sen University,16.6,2012
Technical University of Darmstadt,53.6,2012
Tokyo Medical and Dental University (TMDU),3.3,2012
UiT The Arctic University of Norway,12.2,2012
University of Antwerp,30.3,2012
University of Crete,26.9,2012
University of Guelph,28.3,2012
University of Iceland,25.9,2012
University of Kansas,,2012
University of Kentucky,,2012
University of Münster,46.1,2012
University of Newcastle,21.9,2012
University of Texas at San Antonio,26.9,2012
University of Trento,43.2,2012
York University,39.4,2012
Aalborg University,15.9,2012
Aalto University,24.2,2012
Alexandria University,23.3,2012
Bar-Ilan University,16,2012
"Binghamton University, State University of New York",23.3,2012
Boğaziçi University,25,2012
Charles Darwin University,25.4,2012
Charles University in Prague,13,2012
George Mason University,17,2012
Indian Institute of Technology Bombay,14.9,2012
Jagiellonian University,11.5,2012
Keele University,15.7,2012
Keio University,11.9,2012
Kent State University,19,2012
Lehigh University,11.3,2012
Linköping University,7.7,2012
National Taiwan University of Science and Technology (Taiwan Tech),17.4,2012
Plymouth University,25.9,2012
Polytechnic University of Milan,22.2,2012
Sapienza University of Rome,32.3,2012
Shanghai Jiao Tong University,12.8,2012
Sharif University of Technology,18.7,2012
Sungkyunkwan University (SKKU),20.3,2012
University College Cork,22.3,2012
University of Aveiro,17.8,2012
University of Canterbury,16.5,2012
University of Eastern Finland,17.3,2012
University of Ferrara,30.2,2012
University of Hertfordshire,19.4,2012
University of Houston,43.7,2012
University of Hull,18.7,2012
University of Liège,25.9,2012
University of Manitoba,27.8,2012
"University of Maryland, Baltimore County",18.1,2012
University of Modena and Reggio Emilia,25.3,2012
University of Oklahoma,,2012
University of Pisa,18,2012
University of Porto,18.8,2012
University of South Florida,21.5,2012
University of Stirling,15.9,2012
University of Surrey,16.6,2012
University of Tampere,9.5,2012
University of Tasmania,23.8,2012
University of Valencia,15.4,2012
University of Waikato,17,2012
University of Warsaw,14.1,2012
Vienna University of Technology,52,2012
Vrije Universiteit Brussel,17.1,2012
Washington State University,18.3,2012
Zhejiang University,15.9,2012
Aston University,,2012
Auburn University,17.6,2012
Clemson University,17.1,2012
Curtin University,17.1,2012
Deakin University,30.4,2012
Flinders University,22.6,2012
Georgia State University,20.4,2012
Griffith University,22,2012
Harbin Institute of Technology,10.8,2012
Heriot-Watt University,17.8,2012
Hiroshima University,8.2,2012
Kansas State University,15.1,2012
Kobe University,8.4,2012
Kyung Hee University,17.4,2012
La Trobe University,29,2012
Leibniz University of Hanover,62.7,2012
Liverpool John Moores University,19.8,2012
Loughborough University,15.9,2012
Mahidol University,7.5,2012
Massey University,16.8,2012
Michigan Technological University,,2012
National Central University,9.8,2012
National Taiwan Ocean University,20.9,2012
"National University of Ireland, Galway",26.8,2012
"National University of Ireland, Maynooth",28,2012
New Jersey Institute of Technology,26.2,2012
New University of Lisbon,17.9,2012
Old Dominion University,,2012
Polytechnic University of Catalonia,11.7,2012
Polytechnic University of Turin,19.6,2012
Polytechnic University of Valencia,13.6,2012
Pontifical Catholic University of Chile,15.3,2012
Saint Petersburg State University,5.2,2012
Swansea University,17.1,2012
Swinburne University of Technology,36.5,2012
Tokyo University of Agriculture and Technology,14.4,2012
University of Bari Aldo Moro,65.1,2012
University of Coimbra,19,2012
University of Idaho,21.5,2012
University of Kent,14.4,2012
University of Paris North – Paris 13,23.4,2012
University of Salento,58.4,2012
University of South Australia,26.2,2012
University of Strathclyde,20.2,2012
University of Tartu,13,2012
University of Turku,14.6,2012
University of Wyoming,,2012
University of Zaragoza,11.8,2012
Waseda University,16.9,2012
Wuhan University,14.4,2012
Yuan Ze University,20.6,2012
California Institute of Technology,6.9,2013
Stanford University,7.8,2013
University of Oxford,11.6,2013
Harvard University,8.9,2013
Massachusetts Institute of Technology,9,2013
Princeton University,8.4,2013
University of Cambridge,11.8,2013
Imperial College London,11.7,2013
"University of California, Berkeley",16.4,2013
University of Chicago,6.9,2013
Yale University,4.4,2013
ETH Zurich – Swiss Federal Institute of Technology Zurich,14.7,2013
"University of California, Los Angeles",10.3,2013
Columbia University,5.9,2013
University of Pennsylvania,6.5,2013
Johns Hopkins University,3.6,2013
University College London,10.7,2013
Cornell University,10.2,2013
Northwestern University,13.8,2013
University of Michigan,9,2013
University of Toronto,19.5,2013
Carnegie Mellon University,13.1,2013
Duke University,4.8,2013
University of Washington,11.8,2013
Georgia Institute of Technology,20.1,2013
University of Texas at Austin,17.4,2013
University of Tokyo,5.7,2013
University of Melbourne,23.7,2013
National University of Singapore,15.5,2013
University of British Columbia,17.6,2013
University of Wisconsin-Madison,10.8,2013
University of Edinburgh,14.1,2013
University of Illinois at Urbana-Champaign,18.7,2013
McGill University,13.7,2013
"University of California, Santa Barbara",27.3,2013
University of Hong Kong,17.6,2013
Australian National University,19.2,2013
"University of California, San Diego",6.5,2013
London School of Economics and Political Science,,2013
École Polytechnique Fédérale de Lausanne,10.5,2013
New York University,6.8,2013
Karolinska Institute,11.5,2013
University of North Carolina at Chapel Hill,7.3,2013
"University of California, Davis",13.9,2013
Washington University in St Louis,5.7,2013
Peking University,8.3,2013
University of Minnesota,18,2013
LMU Munich,15.5,2013
University of Manchester,15.3,2013
Pohang University of Science and Technology,10.1,2013
Brown University,10.1,2013
Tsinghua University,13.7,2013
Ohio State University,13.4,2013
Boston University,8.6,2013
Kyoto University,5.6,2013
University of Southern California,12.9,2013
King’s College London,11.4,2013
KU Leuven,41.9,2013
Seoul National University,13.9,2013
École Normale Supérieure,7.9,2013
Pennsylvania State University,12.4,2013
University of Sydney,20.2,2013
École Polytechnique,4.8,2013
Leiden University,17.1,2013
Hong Kong University of Science and Technology,23.8,2013
The University of Queensland,32.7,2013
Utrecht University,15.4,2013
Korea Advanced Institute of Science and Technology (KAIST),10,2013
Purdue University,18.1,2013
University of Göttingen,25.6,2013
Wageningen University and Research Center,17,2013
Erasmus University Rotterdam,18.9,2013
University of Massachusetts,13,2013
University of Bristol,14,2013
Rice University,9,2013
University of Pittsburgh,5.8,2013
Delft University of Technology,19.4,2013
Heidelberg University,24.5,2013
Emory University,4.5,2013
Durham University,15.7,2013
Pierre and Marie Curie University,8.7,2013
Lund University,11.5,2013
University of Amsterdam,14.4,2013
University of Montreal,20.3,2013
University of New South Wales,25.9,2013
Nanyang Technological University,16.2,2013
Tufts University,10,2013
McMaster University,19.3,2013
University of Groningen,25.6,2013
University of Zurich,6.5,2013
University of Colorado Boulder,16.1,2013
Paris-Sud University,15,2013
Ghent University,34.1,2013
Michigan State University,15.7,2013
University of Notre Dame,13.8,2013
"University of California, Irvine",16.1,2013
"University of Maryland, College Park",8.4,2013
University of Arizona,12.7,2013
Humboldt University of Berlin,52.5,2013
Monash University,40.5,2013
"Rutgers, the State University of New Jersey",17.3,2013
University of Rochester,4.5,2013
University of York,,2013
Case Western Reserve University,6.4,2013
Technical University of Munich,31.5,2013
Uppsala University,18.2,2013
Vanderbilt University,3.6,2013
University of St Andrews,12.7,2013
University of Helsinki,15.1,2013
Trinity College Dublin,18,2013
University of Sheffield,15.5,2013
University of Sussex,17.4,2013
University of Cape Town,12.1,2013
Eindhoven University of Technology,16,2013
Maastricht University,18.9,2013
Aarhus University,13.6,2013
Stockholm University,23.7,2013
University of Virginia,10.2,2013
"Royal Holloway, University of London",15.9,2013
University of Nottingham,15,2013
University of Alberta,21.6,2013
"University of California, Santa Cruz",22.7,2013
University of Florida,18.7,2013
Chinese University of Hong Kong,10.2,2013
Dartmouth College,6.6,2013
University of Warwick,16.6,2013
Radboud University Nijmegen,13,2013
Free University of Berlin,39.3,2013
Tokyo Institute of Technology,7.3,2013
University of Copenhagen,4.1,2013
University of Lausanne,13.1,2013
University of Southampton,13.5,2013
University of Geneva,15,2013
Indiana University,13.6,2013
National Taiwan University,11.9,2013
University of Utah,16.9,2013
Hebrew University of Jerusalem,10.7,2013
Tohoku University,5,2013
University of Glasgow,16,2013
KTH Royal Institute of Technology,14.6,2013
VU University Amsterdam,16.3,2013
University of Basel,17.3,2013
University of Leeds,14.7,2013
University of Freiburg,31.2,2013
Lancaster University,14.9,2013
Queen Mary University of London,14,2013
Osaka University,7.8,2013
Arizona State University,29.9,2013
Technical University of Denmark,5,2013
Boston College,17.4,2013
Karlsruhe Institute of Technology,24.6,2013
University of Bern,22.5,2013
University of Exeter,18.8,2013
RWTH Aachen University,27.6,2013
"University of California, Riverside",22,2013
Texas A&M University,21.4,2013
Yeshiva University,5.5,2013
Tel Aviv University,24.4,2013
University of Birmingham,16.4,2013
University of São Paulo,14.6,2013
University of Auckland,18.9,2013
Stony Brook University,10.9,2013
University of Vienna,20.5,2013
Université Catholique de Louvain,42,2013
University of Delaware,15.9,2013
Paris Diderot University – Paris 7,14.8,2013
University of Texas at Dallas,22.8,2013
George Washington University,12,2013
University of Iowa,11.6,2013
École Normale Supérieure de Lyon,8,2013
University of Bonn,70.4,2013
University of Liverpool,13.6,2013
University of Ottawa,26.3,2013
Georgetown University,8.5,2013
Rensselaer Polytechnic Institute,15,2013
University of Aberdeen,15.8,2013
University of Adelaide,30.1,2013
University of East Anglia,14.7,2013
University of Reading,14.8,2013
Joseph Fourier University,12.1,2013
Newcastle University,15.2,2013
City University of Hong Kong,7.1,2013
Yonsei University,11.6,2013
Colorado School of Mines,18.2,2013
University of Illinois at Chicago,9.2,2013
William & Mary,11.8,2013
University College Dublin,24.5,2013
University of Twente,12,2013
Medical University of South Carolina,,2013
University of Western Australia,20.7,2013
Wake Forest University,4.6,2013
University of Antwerp,30.3,2013
Iowa State University,17.4,2013
Technion Israel Institute of Technology,19.4,2013
University of Miami,5.7,2013
University of Leicester,13.4,2013
University of Victoria,21.5,2013
University at Buffalo,19,2013
Goethe University Frankfurt,9.3,2013
"Birkbeck, University of London",17.2,2013
Autonomous University of Barcelona,12.3,2013
Brandeis University,12.6,2013
Cardiff University,13.1,2013
Fudan University,12.2,2013
Johannes Gutenberg University of Mainz,32.6,2013
Lomonosov Moscow State University,7.7,2013
Middle East Technical University,22.2,2013
Nagoya University,7.9,2013
Northeastern University,15.1,2013
Pompeu Fabra University,18.3,2013
Queen’s University,22.1,2013
"St George’s, University of London",13.4,2013
Sungkyunkwan University (SKKU),20.3,2013
Tilburg University,22.4,2013
University of Barcelona,12.2,2013
University of Dundee,15.3,2013
University of Erlangen-Nuremberg,53.9,2013
University of Georgia,19.9,2013
University of Gothenburg,16.4,2013
University of Innsbruck,16.9,2013
University of Konstanz,59.1,2013
University of Oslo,18.8,2013
University of Science and Technology of China,7.9,2013
University of Strasbourg,17.8,2013
University of Tübingen,38.9,2013
Bilkent University,,2013
Carleton University,29.8,2013
Chalmers University of Technology,11.6,2013
Florida Institute of Technology,13.7,2013
Georgia Health Sciences University,,2013
Indian Institute of Technology Kharagpur,17.5,2013
Korea University,15.8,2013
Koç University,14.6,2013
Laval University,16.2,2013
Mines ParisTech,5.6,2013
National Research Nuclear University MePhI,7.3,2013
National Tsing Hua University,13.5,2013
Simon Fraser University,28.3,2013
Technical University of Darmstadt,53.6,2013
Tulane University,8.4,2013
University of Bergen,11.1,2013
University of Calgary,16.5,2013
University of Cincinnati,15.7,2013
University of Missouri,14.1,2013
University of Otago,20.3,2013
University of South Florida,21.5,2013
University of the Witwatersrand,18.6,2013
University of Waterloo,24.2,2013
University of Western Ontario,20.7,2013
University of Würzburg,38.4,2013
Université Libre de Bruxelles,26.1,2013
Aalto University,24.2,2013
Dalhousie University,14.4,2013
Hong Kong Polytechnic University,25.9,2013
Indian Institute of Technology Bombay,14.9,2013
Macquarie University,20,2013
Nanjing University,13.3,2013
National Chiao Tung University,16.6,2013
Norwegian University of Science and Technology,13.9,2013
Queensland University of Technology,35.8,2013
State University of Campinas,15.3,2013
Stellenbosch University,23,2013
Tokyo Metropolitan University,9.9,2013
Umeå University,11.9,2013
University of Connecticut,13,2013
University of Essex,19.8,2013
University of Iceland,25.9,2013
University of Kiel,23.8,2013
University of Milan,24.3,2013
University of Milan-Bicocca,72.5,2013
University of Münster,46.1,2013
University of Oregon,20.2,2013
University of Trieste,25.8,2013
Victoria University of Wellington,21.1,2013
Vienna University of Technology,52,2013
Aberystwyth University,19.2,2013
Bangor University,19.5,2013
Bayreuth University,35.5,2013
Bielefeld University,67.8,2013
Boğaziçi University,25,2013
Colorado State University,19,2013
Drexel University,10.8,2013
Istanbul Technical University,16,2013
Montpellier University,18.4,2013
Oregon State University,16.8,2013
Queen’s University Belfast,17.9,2013
Ruhr University Bochum,46.3,2013
Shanghai Jiao Tong University,12.8,2013
Swedish University of Agricultural Sciences,4.6,2013
Tokyo Medical and Dental University (TMDU),3.3,2013
TU Dresden,37.4,2013
University of Bath,18.8,2013
University of Bologna,22.9,2013
University of Kansas,,2013
University of Montana,15.2,2013
University of Newcastle,21.9,2013
University of South Carolina,16.3,2013
University of Southern Denmark,12.7,2013
University of Trento,43.2,2013
University of Turin,66,2013
